rank,company,revenue,profit,num. of employees,sector,city,state,Website
133,United Natural Foods,23481.1,-285,19000,Wholesalers,Providence,RI,https://www.unfi.com
134,Micron Technology,23406,6313,37000,Technology,Boise,ID,https://www.micron.com
135,Amgen,23362,7842,23400,Health Care,Thousand Oaks,CA,https://www.amgen.com
136,Penske Automotive Group,23179.4,435.8,26980,Retailing,Bloomfield Hills,MI,https://www.penskeautomotive.com
137,Visa,22977,12080,19500,Business Services,San Francisco,CA,https://usa.visa.com
138,Broadcom,22597,2724,19000,Technology,San Jose,CA,https://www.broadcom.com
139,Nucor,22588.9,1271.1,26800,Materials,Charlotte,NC,https://www.nucor.com
140,Gilead Sciences,22449,5386,11800,Health Care,Foster City,CA,https://www.gilead.com
141,Southwest Airlines,22428,2300,60767,Transportation,Dallas,TX,https://www.southwest.com
142,Halliburton,22408,-1131,55000,Energy,Houston,TX,https://www.halliburton.com
143,Lumen Technologies,22401,-5269,42500,Telecommunications,Monroe,LA,https://www.lumen.com
144,International Paper,22376,1225,51000,Materials,Memphis,TN,https://www.internationalpaper.com
145,Eli Lilly,22319.5,8318.4,33625,Health Care,Indianapolis,IN,https://www.lilly.com
146,Aflac,22307,3304,11729,Financials,Columbus,GA,https://www.aflac.com
147,Lennar,22259.6,1849.1,10106,Engineering & Construction,Miami,FL,https://www.lennar.com
148,Occidental Petroleum,21971,-667,14400,Energy,Houston,TX,https://www.oxy.com
149,Union Pacific,21708,5919,37483,Transportation,Omaha,NE,https://www.up.com
150,Rite Aid,21674.4,-422.2,42645,Food & Drug Stores,Camp Hill,PA,https://www.riteaid.com
151,PNC Financial Services Group,21624,5369,50968,Financials,Pittsburgh,PA,https://www.pnc.com
152,DuPont,21512,498,35000,Chemicals,Wilmington,DE,https://www.dupont.com
153,Southern Company,21419,4739,27943,Energy,Atlanta,GA,https://www.southerncompany.com
154,AutoNation,21335.7,450,25000,Retailing,Fort Lauderdale,FL,https://www.autonation.com
155,DXC Technology,21184,1257,130000,Technology,Tysons,VA,https://www.dxc.technology
156,McDonald&#8217;s,21076.5,6025.4,205000,"Hotels, Restaurants & Leisure",Chicago,IL,https://corporate.mcdonalds.com
157,Marriott International,20972,1273,174000,"Hotels, Restaurants & Leisure",Bethesda,MD,https://www.marriott.com
158,ManpowerGroup,20863.5,465.7,28000,Business Services,Milwaukee,WI,https://www.manpowergroup.com
159,Bank of New York Mellon,20822,4441,48400,Financials,New York,NY,https://www.bnymellon.com
160,Hartford Financial Services Group,20740,2085,19500,Financials,Hartford,CT,https://www.thehartford.com
